"Marca temporal","Sexo","Edad","Jugas videojuegos en tu tiempo libre?","En que plataforma/s jugas?","Genero/s de videojuegos preferido/s?","Cuantos dias a la semana jugas generalmente?","Cuantas horas le invertis generalmente cuando te sentas a jugar?","Que modo preferis jugar?","A que edad comenzaste a jugar videojuegos?","Cual fue tu primer consola?","Te gusta jugar juegos nichos o indies?","Te consideras adicto a los videojuegos?","Consideras que los videojuegos pueden hacer que una persona se vuelva violenta?","Crees que los juegos pueden tener un impacto positivo o educativo en la sociedad?","Aprendiste algo util gracias a los videojuegos? Si es asi, que aprendiste?"
"2022/07/12 12:59:05 p. m. GMT-3","Hombre","18","Si","PC","Rol","2","1 - 2hs","Singleplayer","6","Playstation","Si","No","No","Si","Mucho ingles y cuestiones de mecanica, ya que he jugado juegos de armar autos. Cultura general, hechos historicos, y mas."
"2022/07/12 1:03:01 p. m. GMT-3","Hombre","18","Si","PC","Shooter/Accion","2","1 - 2hs","Multijugador","8","Playstation","No","No","No","Si","."
"2022/07/12 1:05:20 p. m. GMT-3","Hombre","18","Si","PC;Celular","Deportes","4","2 - 3hs","Multijugador","4","Playstation","Si","No","No","Si","No que me acuerde"
"2022/07/12 1:10:26 p. m. GMT-3","Hombre","18","Si","PC","Aventura","3","1 - 2hs","Singleplayer","8","Playstation","Si","No","No","Si","ponerla"
"2022/07/12 1:11:47 p. m. GMT-3","Mujer","18","Si","PC","Estrategia","4","2 - 3hs","Singleplayer","10","Playstation","Si","No","No","Si","-"
"2022/07/12 1:30:21 p. m. GMT-3","Hombre","18","Si","Playstation","Shooter/Accion","4","2 - 3hs","Multijugador","6","Playstation","Si","No","No","Si","Nada"
"2022/07/12 1:36:06 p. m. GMT-3","Hombre","18","Si","PC","Aventura","3","3 - 4hs","Multijugador","7","Playstation","Si","No","No","Si","La coordinación mano ojo"
"2022/07/12 1:44:32 p. m. GMT-3","Hombre","18","Si","PC","Shooter/Accion","6","3 - 4hs","Multijugador","7","Nintendo","Si","No","No","Si","historia"
"2022/07/12 2:27:16 p. m. GMT-3","Hombre","18","Si","PC","Automovilismo","7","2 - 3hs","Multijugador","6","Playstation","Si","No","No","Si","A tener mejor punteria"
"2022/07/12 3:22:40 p. m. GMT-3","Hombre","18","Si","Nintendo","Estrategia","1","2 - 3hs","Singleplayer","8","Playstation","Si","No","No","Si","No me acuerdo lol"
"2022/07/12 4:36:05 p. m. GMT-3","Hombre","18","Si","Celular","Shooter/Accion","4","3 - 4hs","Multijugador","8","PC","No","Si","No","Si","Norecuerdo"
"2022/07/13 3:13:16 p. m. GMT-3","Hombre","18","Si","PC","Estrategia","4","2 - 3hs","Multijugador","6","Playstation","Si","No","No","Si","No se"
"2022/07/13 6:15:01 p. m. GMT-3","Hombre","18","Si","PC","Shooter/Accion","5","2 - 3hs","Multijugador","6","Playstation","Si","No","No","Si","docker"
"2022/07/21 2:20:05 p. m. GMT-3","Hombre","19","Si","Playstation","Rol","5","+4hs","Multijugador","9","Playstation","Si","No","No","Si","Inglés, historia, culturas, diseño 3D"
"2022/07/21 2:50:24 p. m. GMT-3","Hombre","19","Si","PC","Simulacion","5","1 - 2hs","Co-op","4","Sega","Si","No","No","Si","Principalmente , como funcionan, ya que me gusta la programación."
