,Anio,Circuito,Nombre,Tag,Equipo,Tiempo de Vuelta
0,2022,Bahrain,Valtteri Bottas,BOT,Mercedes,1:32.090
1,2022,Emilia Romagna,Lewis Hamilton,HAM,Mercedes,1:16.702
2,2022,Portugal,Valtteri Bottas,BOT,Mercedes,1:19.865
3,2022,Spain,Max Verstappen,VER,Red Bull Racing Honda,1:18.149
4,2022,Monaco,Lewis Hamilton,HAM,Mercedes,1:12.909
5,2022,Azerbaijan,Max Verstappen,VER,Red Bull Racing Honda,1:44.481
6,2022,France,Max Verstappen,VER,Red Bull Racing Honda,1:36.404
7,2022,Styria,Lewis Hamilton,HAM,Mercedes,1:07.058
8,2022,Austria,Max Verstappen,VER,Red Bull Racing Honda,1:06.200
9,2022,Great Britain,Sergio Perez,PER,Red Bull Racing Honda,1:28.617
10,2022,Hungary,Pierre Gasly,GAS,AlphaTauri Honda,1:18.394
11,2022,Netherlands,Lewis Hamilton,HAM,Mercedes,1:11.097
12,2022,Italy,Daniel Ricciardo,RIC,McLaren Mercedes,1:24.812
13,2022,Russia,Lando Norris,NOR,McLaren Mercedes,1:37.423
14,2022,Turkey,Valtteri Bottas,BOT,Mercedes,1:30.432
15,2022,United States,Lewis Hamilton,HAM,Mercedes,1:38.485
16,2022,Mexico,Valtteri Bottas,BOT,Mercedes,1:17.774
17,2022,Brazil,Sergio Perez,PER,Red Bull Racing Honda,1:11.010
18,2022,Qatar,Max Verstappen,VER,Red Bull Racing Honda,1:23.196
19,2022,Saudi Arabia,Lewis Hamilton,HAM,Mercedes,1:30.734
20,2022,Abu Dhabi,Max Verstappen,VER,Red Bull Racing Honda,1:26.103
